order_id,customer_id,product_id,product_name,category,price,quantity,payment_method,order_date,delivery_time_days,region,returned,shipping_cost,total_amount,customer_age,customer_gender
O00001,C03682,P0001,Smartphone,Electronics,632.6,3,Credit Card,2024-04-08,14,Africa,No,10.5,1908.3,44,Male
O00002,C00789,P0001,Smartphone,Electronics,711.65,4,Debit Card,2023-07-17,3,Africa,No,5.64,2852.24,54,Male
O00003,C03161,P0007,Jacket,Fashion,135.8,1,Gift Card,2025-05-15,7,Africa,No,8.98,144.78,12,Male
O00004,C01761,P0017,Coffee Beans,Grocery,19.11,2,PayPal,2023-11-29,3,Asia,No,5.13,43.35,69,Female
O00005,C00961,P0002,Laptop,Electronics,1131.68,1,Gift Card,2023-08-04,2,North America,No,20.27,1151.95,41,Male
O00006,C02664,P0017,Coffee Beans,Grocery,19.25,2,Credit Card,2023-04-05,3,South America,No,17.07,55.57,22,Female
O00007,C03784,P0014,Skin Care Set,Beauty,85.88,2,Credit Card,2025-01-16,6,North America,No,21.59,193.35,32,Male
O00008,C00435,P0010,Building Blocks,Toys,47.46,2,Gift Card,2024-04-27,9,Asia,No,24.7,119.62,16,Male
O00009,C02803,P0017,Coffee Beans,Grocery,18.49,2,Debit Card,2025-02-03,14,Asia,Yes,12.3,49.28,27,Female
O00010,C00549,P0016,Organic Snacks Pack,Grocery,25.55,3,Gift Card,2024-05-22,4,South America,No,8.42,85.07,38,Male
O00011,C01919,P0011,Remote Control Car,Toys,87.83,4,Credit Card,2024-03-31,1,Europe,No,17.8,369.12,23,Female
O00012,C01000,P0008,Vacuum Cleaner,Home,265.25,3,PayPal,2023-05-22,2,Europe,No,13.02,808.77,21,Male
O00013,C01587,P0004,Smart TV,Electronics,978.15,4,PayPal,2025-08-03,6,Europe,No,23.29,3935.89,63,Male
O00014,C02416,P0005,Jeans,Fashion,61.89,1,PayPal,2025-06-02,3,Europe,No,15.78,77.67,42,Female
O00015,C00159,P0008,Vacuum Cleaner,Home,250.48,2,Debit Card,2023-04-13,7,Europe,No,6.82,507.78,40,Male
O00016,C03850,P0004,Smart TV,Electronics,1018.26,2,Credit Card,2025-08-22,1,North America,No,12.7,2049.22,38,Female
O00017,C02420,P0003,Wireless Earbuds,Electronics,135.93,3,Debit Card,2024-08-30,13,South America,No,11.8,419.59,23,Female
O00018,C00642,P0001,Smartphone,Electronics,762.44,3,Credit Card,2024-06-29,4,Asia,No,22.52,2309.84,63,Male
O00019,C01916,P0008,Vacuum Cleaner,Home,232.64,4,PayPal,2025-12-28,4,South America,No,20.25,950.81,33,Male
O00020,C01136,P0012,Yoga Mat,Sports,27.67,1,Credit Card,2024-09-27,12,Europe,No,12.26,39.93,30,Male
O00021,C00435,P0012,Yoga Mat,Sports,27.51,2,Debit Card,2023-05-28,11,South America,No,14.72,69.74,35,Male
O00022,C00607,P0007,Jacket,Fashion,139.95,4,Debit Card,2025-05-22,4,Asia,No,15.55,575.35,52,Male
O00023,C02243,P0004,Smart TV,Electronics,1097.93,2,Credit Card,2025-06-22,3,Europe,No,18.0,2213.86,38,Female
O00024,C02398,P0005,Jeans,Fashion,53.86,4,Credit Card,2024-04-22,6,North America,No,5.42,220.86,53,Male
O00025,C00607,P0007,Jacket,Fashion,153.93,1,Credit Card,2023-03-12,2,Africa,No,9.58,163.51,53,Female
O00026,C00607,P0008,Vacuum Cleaner,Home,238.92,2,Debit Card,2023-10-04,14,South America,No,14.71,492.55,12,Female
O00027,C00435,P0017,Coffee Beans,Grocery,16.89,2,Gift Card,2025-06-07,11,South America,No,6.94,40.72,48,Female
O00028,C01850,P0006,Sneakers,Fashion,128.73,3,Gift Card,2023-07-27,6,Asia,No,6.08,392.27,52,Male
O00029,C02001,P0014,Skin Care Set,Beauty,80.73,4,Gift Card,2025-07-13,9,Europe,No,8.8,331.72,15,Male
O00030,C00139,P0013,Dumbbells,Sports,69.48,4,Credit Card,2023-06-10,5,North America,No,22.49,300.41,49,Female
O00031,C02803,P0016,Organic Snacks Pack,Grocery,27.34,3,Gift Card,2024-05-05,7,South America,No,23.53,105.55,17,Male
O00032,C01206,P0006,Sneakers,Fashion,113.13,1,Gift Card,2023-05-07,4,North America,No,13.02,126.15,37,Male
O00033,C02957,P0004,Smart TV,Electronics,952.09,4,Gift Card,2025-07-26,13,Africa,No,20.68,3829.04,38,Female
O00034,C03604,P0017,Coffee Beans,Grocery,16.76,2,PayPal,2023-05-06,13,North America,No,10.93,44.45,22,Male
O00035,C02253,P0001,Smartphone,Electronics,710.77,3,Credit Card,2025-12-29,10,Africa,No,15.06,2147.37,36,Male
O00036,C02798,P0016,Organic Snacks Pack,Grocery,26.76,1,Gift Card,2023-05-26,1,North America,No,6.37,33.13,30,Male
O00037,C02110,P0007,Jacket,Fashion,142.39,3,PayPal,2023-06-23,11,Asia,No,16.89,444.06,22,Female
O00038,C00116,P0005,Jeans,Fashion,61.0,2,Debit Card,2024-07-03,13,Asia,No,11.28,133.28,12,Female
O00039,C01402,P0017,Coffee Beans,Grocery,17.34,1,Gift Card,2023-06-04,9,Africa,No,20.04,37.38,45,Male
O00040,C00079,P0008,Vacuum Cleaner,Home,228.66,2,PayPal,2024-07-03,14,North America,No,9.26,466.58,33,Male
O00041,C00451,P0016,Organic Snacks Pack,Grocery,24.35,3,PayPal,2024-09-17,1,North America,No,8.15,81.2,33,Male
O00042,C03161,P0008,Vacuum Cleaner,Home,238.22,3,PayPal,2023-11-21,5,Africa,No,22.79,737.45,29,Female
O00043,C02009,P0002,Laptop,Electronics,1252.23,3,PayPal,2024-06-30,4,North America,Yes,9.07,3765.76,53,Female
O00044,C02398,P0010,Building Blocks,Toys,46.21,3,PayPal,2023-04-07,1,Europe,No,21.59,160.22,42,Male
O00045,C02609,P0011,Remote Control Car,Toys,74.59,4,Credit Card,2025-05-31,5,North America,No,13.84,312.2,37,Male
O00046,C00435,P0016,Organic Snacks Pack,Grocery,25.23,3,Debit Card,2023-11-06,13,North America,No,21.69,97.38,40,Female
O00047,C01402,P0015,Perfume,Beauty,107.02,3,Debit Card,2023-03-29,4,Europe,No,23.66,344.72,29,Female
O00048,C02803,P0014,Skin Care Set,Beauty,82.51,3,Debit Card,2025-04-18,3,Europe,No,16.2,263.73,26,Male
O00049,C00444,P0016,Organic Snacks Pack,Grocery,26.91,1,Debit Card,2024-11-17,2,Asia,Yes,5.5,32.41,12,Female
O00050,C03604,P0002,Laptop,Electronics,1268.97,1,Debit Card,2023-03-27,8,Europe,No,7.16,1276.13,26,Female
O00051,C01693,P0009,Coffee Maker,Home,87.29,1,Credit Card,2024-04-17,1,Europe,No,21.41,108.7,13,Male
O00052,C03831,P0004,Smart TV,Electronics,964.69,2,Gift Card,2024-07-31,12,Africa,No,22.29,1951.67,40,Female
O00053,C01622,P0003,Wireless Earbuds,Electronics,140.33,3,PayPal,2024-06-24,4,North America,No,7.31,428.3,44,Male
O00054,C00457,P0016,Organic Snacks Pack,Grocery,25.48,3,Credit Card,2024-10-10,12,South America,No,11.91,88.35,59,Female
O00055,C00912,P0007,Jacket,Fashion,140.7,4,Debit Card,2025-06-18,7,Asia,No,5.89,568.69,38,Male
O00056,C00607,P0017,Coffee Beans,Grocery,16.45,4,Credit Card,2024-11-13,1,Asia,No,18.28,84.08,21,Female
